prodcode	dmdcode	therapyevents	gemscriptcode	productname	drugsubstancename	substancestrength	formulation	routeofadministration	bnfcode	bnfheader	databasebuild
47167	19504311000001103	314	00341021	Asenapine 10mg sublingual tablets sugar free	Asenapine maleate	10mg	Sublingual tablet	Sublingual	04020300	Products Used For Mania And Hypomania	May 2012
47280	19504411000001105	623	00337021	Asenapine 5mg sublingual tablets sugar free	Asenapine maleate	5mg	Sublingual tablet	Sublingual	04020300	Products Used For Mania And Hypomania	May 2012
59345	19496611000001105	9	00339021	Sycrest 5mg sublingual tablets (Organon Pharma (UK) Ltd)	Asenapine maleate	5mg	Sublingual tablet	Sublingual	04020300	Products Used For Mania And Hypomania	April 2014
47365	9483411000001104	26	98282020	Anquil 250microgram tablets (Neon Healthcare Ltd)	Benperidol	250microgram	Tablet	Oral	04020101	First-Generation Antipsychotic Drugs	June 2012
21744	121925001000027103	1450	64108020	Anquil 250microgram Tablet (Concord Pharmaceuticals Ltd)	Benperidol	250microgram	Tablet	Oral	04020100	Antipsychotic Products	February 2009
31796	3688311000001103	29	84860020	Benquil 250microgram tablets (Concord Pharmaceuticals Ltd)	Benperidol	250microgram	Tablet	Oral	04020101	First-Generation Antipsychotic Drugs	February 2009
2540	321393004	27940	64105020	Benperidol 250microgram tablets	Benperidol	250microgram	Tablet	Oral	04020101	First-Generation Antipsychotic Drugs	February 2009
81221	35854111000001101	10	82605021	Cariprazine 6mg capsules	Cariprazine hydrochloride	6mg	Capsule	Oral	04020100	Antipsychotic Products	July 2020
79560	35854011000001102	32	82603021	Cariprazine 4.5mg capsules	Cariprazine hydrochloride	4.5mg	Capsule	Oral	04020100	Antipsychotic Products	January 2020
80350	35853911000001100	50	82601021	Cariprazine 3mg capsules	Cariprazine hydrochloride	3mg	Capsule	Oral	04020100	Antipsychotic Products	April 2020
80112	35853811000001105	55	82599021	Cariprazine 1.5mg capsules	Cariprazine hydrochloride	1.5mg	Capsule	Oral	04020100	Antipsychotic Products	March 2020
82640	35772111000001108	1	82602021	Reagila 3mg capsules (Recordati Pharmaceuticals Ltd)	Cariprazine hydrochloride	3mg	Capsule	Oral	04020100	Antipsychotic Products	January 2021
67820	13892711000001105	494	35220020	Chlorpromazine 100mg/5ml oral suspension	Chlorpromazine hydrochloride	20mg/1ml	Oral suspension	Oral	04020101	First-Generation Antipsychotic Drugs	October 2016
34668	391411000001104	196	55204020	Chlorpromazine 25mg tablets (Teva UK Ltd)	Chlorpromazine hydrochloride	25mg	Tablet	Oral	04020101	First-Generation Antipsychotic Drugs	February 2009
19002	67285001000027106	447	56481020	Largactil 100mg Suppository (Rhone-Poulenc Rorer Ltd)	Chlorpromazine Hydrochloride	100mg	Suppository	Rectal	04020100/40120000	Antipsychotic Products/-	February 2009
17227	101495001000027108	19	61249020	Chloractil 25mg Tablet (DDSA Pharmaceuticals Ltd)	Chlorpromazine hydrochloride	25mg	Tablet	Oral	04020100/40120000	Antipsychotic Products/-	February 2009
28862	101515001000027100	4	61251020	Chloractil 100mg Tablet (DDSA Pharmaceuticals Ltd)	Chlorpromazine hydrochloride	100mg	Tablet	Oral	04020100/40120000	Antipsychotic Products/-	February 2009
65246	8359611000001100	1	19380020	Chlorpromazine 10mg/5ml oral suspension	Chlorpromazine hydrochloride	2mg/1ml	Oral suspension	Oral	04020101	First-Generation Antipsychotic Drugs	January 2016
35929	36138411000001105	141	91408020	Chlorpromazine 50mg/2ml solution for injection ampoules	Chlorpromazine hydrochloride	25mg/1ml	Solution for injection	Intramuscular	04020101	First-Generation Antipsychotic Drugs	February 2009
45281	15381911000001106	57	55710020	Chlorpromazine 100mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)	Chlorpromazine hydrochloride	20mg/1ml	Oral solution	Oral	04020101	First-Generation Antipsychotic Drugs	May 2011
2814	67055001000027105	46240	56445020	Largactil 25mg Tablet (Hawgreen Ltd)	Chlorpromazine hydrochloride	25mg	Tablet	Oral	04020100/40120000	Antipsychotic Products/-	February 2009
84475	30137011000001106	0	53375021	Chlorpromazine 25mg tablets (DE Pharmaceuticals)	Chlorpromazine hydrochloride	25mg	Tablet	Oral	04020101	First-Generation Antipsychotic Drugs	September 2021
10434	189115001000027108	8698	73791020	Largactil 25mg/5ml Oral solution (Hawgreen Ltd)	Chlorpromazine hydrochloride	5mg/1ml	Oral solution	Oral	04020100/40120000	Antipsychotic Products/-	February 2009
31175	290211000001102	29	55217020	Chlorpromazine 25mg tablets (A A H Pharmaceuticals Ltd)	Chlorpromazine hydrochloride	25mg	Tablet	Oral	04020101	First-Generation Antipsychotic Drugs	February 2009
58703	910611000001102	744	03310020	Largactil 50mg tablets (Sanofi)	Chlorpromazine hydrochloride	50mg	Tablet	Oral	04020101	First-Generation Antipsychotic Drugs	January 2014
56862	144011000001107	402	55709020	Chlorpromazine 25mg/5ml syrup (Rosemont Pharmaceuticals Ltd)	Chlorpromazine hydrochloride	5mg/1ml	Oral solution	Oral	04020101	First-Generation Antipsychotic Drugs	August 2013
22606	36138211000001106	52	91404020	Chlorpromazine 25mg/1ml solution for injection ampoules	Chlorpromazine hydrochloride	25mg/1ml	Solution for injection	Intramuscular/Intravenous	00000000	Unknown	February 2009
9965	36137911000001103	6109	61242020	Chlorpromazine 100mg/5ml oral suspension sugar free	Chlorpromazine embonate	20mg/1ml	Oral suspension	Oral	00000000	Unknown	February 2009
67747	13481011000001109	0	75421020	Chlorpromazine 25mg tablets (Almus Pharmaceuticals Ltd)	Chlorpromazine hydrochloride	25mg	Tablet	Oral	04020101	First-Generation Antipsychotic Drugs	October 2016
31172	206411000001104	174	55202020	Chlorpromazine 50mg tablets (Teva UK Ltd)	Chlorpromazine hydrochloride	50mg	Tablet	Oral	04020101	First-Generation Antipsychotic Drugs	February 2009
8771	67045001000027107	12086	56444020	Largactil 10mg Tablet (Hawgreen Ltd)	Chlorpromazine hydrochloride	10mg	Tablet	Oral	04020100/40120000	Antipsychotic Products/-	February 2009
81762	12019011000001107	20	30356020	Chlorpromazine 12.5mg/5ml oral suspension	Chlorpromazine hydrochloride	2.5mg/1ml	Oral suspension	Oral	04020101	First-Generation Antipsychotic Drugs	September 2020
34693	4818811000001100	6	66353020	Chlorpromazine 25mg tablets (Thornton & Ross Ltd)	Chlorpromazine hydrochloride	25mg	Tablet	Oral	04020101	First-Generation Antipsychotic Drugs	February 2009
2474	321365003	113233	61236020	Chlorpromazine 10mg tablets	Chlorpromazine hydrochloride	10mg	Tablet	Oral	04020101	First-Generation Antipsychotic Drugs	February 2009
25653	101505001000027102	2	61250020	Chloractil 50mg Tablet (DDSA Pharmaceuticals Ltd)	Chlorpromazine hydrochloride	50mg	Tablet	Oral	04020100/40120000	Antipsychotic Products/-	February 2009
61153	17856011000001108	0	03305020	Chlorpromazine 25mg tablets (Phoenix Healthcare Distribution Ltd)	Chlorpromazine hydrochloride	25mg	Tablet	Oral	04020101	First-Generation Antipsychotic Drugs	September 2014
41645	57775001000027109	7	55228020	Chlorpromazine 25mg/ml Injection (Antigen Pharmaceuticals)	Chlorpromazine Hydrochloride	25mg/ml	Injection	Intramuscular Deep Injection	04020100/40120000	Antipsychotic Products/-	March 2010
7514	869511000001104	1116	56468020	Largactil 50mg/2ml solution for injection ampoules (Sanofi)	Chlorpromazine hydrochloride	25mg/1ml	Solution for injection	Intramuscular	04020101	First-Generation Antipsychotic Drugs	February 2009
74088	348374003	1	09683020	Chlorpromazine 25mg suppositories	Chlorpromazine hydrochloride	25mg	Suppository	Rectal	04020101	First-Generation Antipsychotic Drugs	December 2018
85386	4820111000001104	7	66359020	Chlorpromazine 100mg tablets (Thornton & Ross Ltd)	Chlorpromazine hydrochloride	100mg	Tablet	Oral	04020101	First-Generation Antipsychotic Drugs	December 2021
34630	4819111000001100	19	66356020	Chlorpromazine 50mg tablets (Thornton & Ross Ltd)	Chlorpromazine hydrochloride	50mg	Tablet	Oral	04020101	First-Generation Antipsychotic Drugs	February 2009
37705	181645001000027105	949	72587020	Chlorpromazine 100mg/5ml suspension	Chlorpromazine Hydrochloride	100mg/5ml	Suspension	Oral	04020100/40120000	Antipsychotic Products/-	February 2009
46960	227311000001100	32	58896020	Chlorpromazine 100mg tablets (IVAX Pharmaceuticals UK Ltd)	Chlorpromazine hydrochloride	100mg	Tablet	Oral	04020101	First-Generation Antipsychotic Drugs	March 2012
31171	430911000001101	37	60250020	Chlorpromazine 50mg tablets (A A H Pharmaceuticals Ltd)	Chlorpromazine hydrochloride	50mg	Tablet	Oral	04020101	First-Generation Antipsychotic Drugs	February 2009
60908	20176811000001101	3167	40470020	Chlorpromazine 10mg capsules	Chlorpromazine hydrochloride	10mg	Capsule	Oral	04020101/04065400	First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products	August 2014
2154	321368001	349709	61237020	Chlorpromazine 100mg tablets	Chlorpromazine hydrochloride	100mg	Tablet	Oral	04020101	First-Generation Antipsychotic Drugs	February 2009
4434	8359711000001109	2908	61243020	Chlorpromazine 50mg/5ml oral solution	Chlorpromazine hydrochloride	10mg/1ml	Oral solution	Oral	04020101	First-Generation Antipsychotic Drugs	February 2009
44186	67811000001105	1	65188020	Chlorpromazine 25mg/5ml oral solution (A A H Pharmaceuticals Ltd)	Chlorpromazine hydrochloride	5mg/1ml	Oral solution	Oral	04020101	First-Generation Antipsychotic Drugs	December 2010
83485	13481511000001101	0	75424020	Chlorpromazine 50mg tablets (Almus Pharmaceuticals Ltd)	Chlorpromazine hydrochloride	50mg	Tablet	Oral	04020101	First-Generation Antipsychotic Drugs	April 2021
588	321366002	844109	68531020	Chlorpromazine 25mg tablets	Chlorpromazine hydrochloride	25mg	Tablet	Oral	04020101	First-Generation Antipsychotic Drugs	February 2009
55012	911311000001102	11	03297020	Largactil 10mg tablets (Sanofi)	Chlorpromazine hydrochloride	10mg	Tablet	Oral	04020101	First-Generation Antipsychotic Drugs	May 2013
67247	10981911000001107	277	03312020	Largactil 50mg tablets (Waymade Healthcare Plc)	Chlorpromazine hydrochloride	50mg	Tablet	Oral	04020101	First-Generation Antipsychotic Drugs	August 2016
82439	21126911000001103	0	44109020	Chlorpromazine 25mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)	Chlorpromazine hydrochloride	5mg/1ml	Oral solution	Oral	04020101	First-Generation Antipsychotic Drugs	January 2021
8311	181705001000027106	724	72597020	Chlorpromazine 25mg/ml injection	Chlorpromazine Hydrochloride	25mg/ml	Injection		04020100/40120000	Antipsychotic Products/-	February 2009
34736	47811000001102	382	55203020	Chlorpromazine 100mg tablets (Teva UK Ltd)	Chlorpromazine hydrochloride	100mg	Tablet	Oral	04020101	First-Generation Antipsychotic Drugs	February 2009
58492	21842111000001109	0	47242020	Chlorpromazine 100mg tablets (Waymade Healthcare Plc)	Chlorpromazine hydrochloride	100mg	Tablet	Oral	04020101	First-Generation Antipsychotic Drugs	January 2014
8519	8359411000001103	9964	72588020	Chlorpromazine 100mg/5ml oral solution	Chlorpromazine hydrochloride	20mg/1ml	Oral solution	Oral	04020101	First-Generation Antipsychotic Drugs	February 2009
9190	18956611000001104	23169	61238020	Chlorpromazine 25mg/5ml oral solution sugar free	Chlorpromazine hydrochloride	5mg/1ml	Oral solution	Oral	04020101	First-Generation Antipsychotic Drugs	February 2009
7493	67085001000027103	24004	56450020	Largactil 100mg Tablet (Hawgreen Ltd)	Chlorpromazine hydrochloride	100mg	Tablet	Oral	04020100/40120000	Antipsychotic Products/-	February 2009
3348	321367006	608863	68532020	Chlorpromazine 50mg tablets	Chlorpromazine hydrochloride	50mg	Tablet	Oral	04020101	First-Generation Antipsychotic Drugs	February 2009
57550	379911000001101	227	03326020	Largactil 25mg/5ml syrup (Sanofi)	Chlorpromazine hydrochloride	5mg/1ml	Oral solution	Oral	04020101	First-Generation Antipsychotic Drugs	October 2013
72716	245575001000027105	22	92473020	Chlorpromazine oral liquid	Chlorpromazine Hydrochloride				04020100/40120000	Antipsychotic Products/-	August 2018
55011	511000001103	1166	03298020	Largactil 25mg tablets (Sanofi)	Chlorpromazine hydrochloride	25mg	Tablet	Oral	04020101	First-Generation Antipsychotic Drugs	May 2013
15418	67145001000027104	2152	56456020	Largactil forte 100mg/5ml Oral suspension (Hawgreen Ltd)	Chlorpromazine embonate	20mg/1ml	Oral suspension	Oral	04020100/40120000	Antipsychotic Products/-	February 2009
37871	32965001000027104	33	52087020	Chlorpromazine 25mg/5ml Oral solution (Rosemont Pharmaceuticals Ltd)	Chlorpromazine hydrochloride	5mg/1ml	Oral solution	Oral	04020100/40120000	Antipsychotic Products/-	February 2009
58702	432111000001100	1036	96969020	Largactil 100mg tablets (Sanofi)	Chlorpromazine hydrochloride	100mg	Tablet	Oral	04020101	First-Generation Antipsychotic Drugs	January 2014
8506	181755001000027103	240	72606020	Chlorpromazine 100mg suppository	Chlorpromazine Hydrochloride	100mg	Suppository	Rectal	04020100/40120000	Antipsychotic Products/-	February 2009
3772	67065001000027101	39691	56446020	Largactil 50mg Tablet (Hawgreen Ltd)	Chlorpromazine hydrochloride	50mg	Tablet	Oral	04020100/40120000	Antipsychotic Products/-	February 2009
3952	36138311000001103	49758	61244020	Chlorpromazine 25mg/5ml oral solution	Chlorpromazine hydrochloride	5mg/1ml	Oral solution	Oral	04020101	First-Generation Antipsychotic Drugs	February 2009
31184	249311000001108	22	58894020	Chlorpromazine 25mg tablets (IVAX Pharmaceuticals UK Ltd)	Chlorpromazine hydrochloride	25mg	Tablet	Oral	04020101	First-Generation Antipsychotic Drugs	February 2009
30111	101615001000027109	6	61264020	Chlorprothixene 50mg tablets	Chlorprothixene	50mg	Tablets	Oral	04020100	Antipsychotic Products	February 2009
28147	30745001000027105	0	51832020	Taractan 15mg Tablet (Roche Products Ltd)	Chlorprothixene	15mg	Tablet	Oral	04020100	Antipsychotic Products	February 2009
86490	39389311000001104	1	97260021	Chlorprothixene 15mg tablets	Chlorprothixene hydrochloride	15mg	Tablet	Oral	04020100	Antipsychotic Products	July 2022
14112	3832011000001100	2352	72577020	Clozaril 100mg tablets (Viatris UK Healthcare Ltd)	Clozapine	100mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	February 2009
40586	418754000	466	97145020	Clozapine 50mg tablets	Clozapine	50mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	October 2009
