medcodeid,term
7235201000006112,Closed reduction of intertrochanteric fracture of femur
7235221000006119,Closed reduction of fracture of head of femur
7236101000006112,Closed manual reduction of intertrochanteric fracture of femur
7236281000006111,Closed reduction of peritrochanteric fracture of femur
7239311000006115,Closed manual reduction of peritrochanteric fracture of femur
7239321000006111,Open reduction of fracture of greater trochanter of femur with internal fixation
7269411000006118,"Open reduction of intertrochanteric fracture of femur with internal fixation using intramedullary implant, screw, and cerclage wiring"
7269551000006116,Percutaneous fixation of fracture of neck of femur
7315291000006119,Fracture of trochanter of femur
7315641000006114,Closed fracture of trochanter of femur
7530861000006113,Fracture of bone of hip region
7585101000006116,Closed intra-articular fracture of head of femur
7585111000006118,Closed articular fracture of head of femur
7585891000006118,Stress fracture of neck of femur
7585901000006119,Stress fracture of hip
7587311000006112,Pathological fracture of proximal end of femur
7588361000006114,Pathological fracture of proximal femur due to neoplastic disease
7588371000006119,Pathological fracture of hip due to neoplastic disease
7588821000006111,Pathological fracture of proximal femur due to secondary osteoporosis
7588831000006114,Secondary osteoporotic fracture of hip
7589501000006113,Pathological fracture of proximal femur due to osteoporosis
7589511000006111,Osteoporotic fracture of hip
7590421000006110,Closed subcapital fracture of neck of femur
7598371000006118,Closed fracture of apophysis of femur
7598381000006115,Closed apophyseal fracture of femur
7598431000006111,Open fracture of apophysis of femur
7598441000006118,Open apophyseal fracture of femur
7598921000006118,Open intra-articular fracture of head of femur
7598931000006115,Open articular fracture of head of femur
7641181000006112,Closed reduction and screw of fracture of proximal femur
7641211000006111,Closed reduction of fracture of proximal femur and internal fixation using bone wire
7641221000006115,Closed reduction and wiring of fracture of proximal femur
7641271000006119,Closed reduction of fracture of proximal femur and internal fixation using bone nail
7641281000006116,Closed reduction and nailing of fracture of proximal femur
7641311000006119,Closed reduction of fracture of femur and internal fixation using dynamic hip screw plate
7641321000006110,Closed reduction and dynamic hip screw of fracture of femur
7701301000006118,Arthroscopic primary reduction and fixation of fracture of neck of femur using dynamic hip screw
793901000006115,Fracture dislocation or subluxation hip
7956181000006115,Fracture of head of femur
9707731000006110,Fixation of intertrochanteric fracture of femur using nail
9707741000006117,Nail fixation of intertrochanteric fracture
107139013,Fracture of acetabulum
118266012,Open fracture of pubis
12053961000006111,Open fracture of coccyx
1228040014,Closed fracture acetabulum
1234136017,Open fracture acetabulum
12453191000006113,"Open fracture pelvis, coccyx"
12480531000006118,[X]Sequelae of other fracture of thorax and pelvis
12484071000006116,"Closed fracture pelvis, coccyx"
13705013,Fracture of ilium
149541000006114,Sequelae of other fracture of thorax and pelvis
1495445016,"Open fracture pelvis, ischium"
194542018,Fracture of sacrum
194543011,Fracture of coccyx
2527751000006118,Open reduction of open sacral fracture
253131000006110,Other/multiple open fracture of pelvis NOS
2532861000006110,Reduction of closed sacral fracture
2551528018,"Closed fracture pelvis, ischium"
2558741000006115,Reduction of closed ischial fracture
256311000006114,Open fracture-subluxation of pelvis
256761000006113,Open fracture-dislocation of pelvis
259481000006119,Open fracture involving thorax wth lower back and pelvis and limbs
259761000006117,Open fracture dislocation of sacro-iliac joint
2608011000006115,Manual reduction of closed fracture of acetabulum
2717261000006119,Fracture of pubic rami
2730901000006117,Closed fracture of sacrum AND/OR coccyx with spinal cord injury
2745361000006113,Open fracture of pelvis
2779541000006119,Closed fracture of ilium
2998771000006110,Open fracture of sacrum AND/OR coccyx without spinal cord injury
3032981000006117,Closed fracture of acetabulum
3070201000006115,Open reduction of closed sacral fracture
3082271000006117,Fracture of pubic bone
3086931000006111,Closed fracture of ischium
3134101000006111,Closed fracture of pelvic rim
3167951000006110,Closed fracture of sacrum AND/OR coccyx with complete cauda equina lesion
318473019,Closed fracture sacrum
318474013,Closed compression fracture sacrum
318475014,Closed vertical fracture of sacrum
318476010,Open fracture sacrum
318477018,Open compression fracture sacrum
318478011,Open vertical fracture of sacrum
318479015,Closed fracture of coccyx
318480017,"Open fracture pelvis, coccyx"
318485010,Fracture of lumbar spine and pelvis
318492017,Multiple fractures of lumbar spine and pelvis
318571019,Closed fracture of sacrum with spinal cord lesion
318573016,Closed fracture of sacrum with complete cauda equina lesion
318574010,Closed fracture of sacrum with other cauda equina injury
318575011,Closed fracture of sacrum with other spinal cord injury
318580019,Closed fracture of sacrum with spinal cord lesion NOS
318581015,Open fracture of sacrum with spinal cord lesion
318582010,Open fracture of sacrum with unspecified spinal cord lesion
318583017,Open fracture of sacrum with complete cauda equina lesion
318584011,Open fracture of sacrum with other cauda equina injury
318585012,Open fracture of sacrum with other spinal cord injury
318586013,Open fracture of sacrum with spinal cord lesion NOS
318587016,Closed fracture of coccyx with spinal cord lesion
318589018,Closed fracture of coccyx with complete cauda equina lesion
318590010,Closed fracture of coccyx with other cauda equina injury
318591014,Closed fracture of coccyx with other spinal cord injury
318592019,Closed fracture of coccyx with spinal cord lesion NOS
318593012,Open fracture of coccyx with spinal cord lesion
318594018,Open fracture of coccyx with unspecified spinal cord lesion
318595017,Open fracture of coccyx with complete cauda equina lesion
318596016,Open fracture of coccyx with other cauda equina injury
318597013,Open fracture of coccyx with other spinal cord injury
318598015,Open fracture of coccyx with spinal cord lesion NOS
318654011,Fracture or disruption of pelvis
318655012,"Closed fracture acetabulum, anterior lip alone"
318656013,"Closed fracture acetabulum, posterior lip alone"
318657016,"Closed fracture acetabulum, anterior column"
318658014,"Closed fracture acetabulum, posterior column"
318659018,"Closed fracture acetabulum, floor"
318660011,"Closed fracture acetabulum, double column transverse"
318661010,"Closed fracture acetabulum, double column unspecified"
318662015,Other specified closed fracture acetabulum
318663013,Closed fracture acetabulum NOS
318664019,"Open fracture acetabulum, anterior lip alone"
318665018,"Open fracture acetabulum, posterior lip alone"
318666017,"Open fracture acetabulum, anterior column"
318667014,"Open fracture acetabulum, posterior column"
318668016,"Open fracture acetabulum, floor"
318669012,"Open fracture acetabulum, double column transverse"
318670013,"Open fracture acetabulum, double column unspecified"
318671012,Other specified open fracture acetabulum
318672017,Open fracture acetabulum NOS
318673010,Closed fracture pubis
318674016,"Closed fracture pelvis, single pubic ramus"
318675015,"Closed fracture pelvis, multiple pubic rami - stable"
318678018,"Closed fracture pelvis, multiple pubic rami - unstable"
318679014,Other specified closed fracture pubis
318680012,Closed fracture pubis NOS
318682016,"Open fracture pelvis, single pubic ramus"
318683014,"Open fracture pelvis, multiple pubic rami - stable"
318684015,"Open fracture pelvis, multiple pubic rami - unstable"
318685019,Other specified open fracture of pubis
318686018,Open fracture of pubis NOS
318687010,Other or multiple closed fracture of pelvis
318688017,"Closed fracture of ilium, unspecified"
318690016,Multiple closed fractures of pelvis with disruption of pelvic circle
318691017,"Closed fracture pelvis, ischial tuberosity"
318692012,"Closed fracture pelvis, anterior superior iliac spine"
318693019,"Closed fracture pelvis, anterior inferior iliac spine"
318694013,"Closed fracture pelvis, iliac wing"
318695014,Closed vertical fracture of ilium
318697018,Other or multiple closed fracture of pelvis NOS
318698011,Other or multiple open fracture of pelvis
318699015,"Open fracture of ilium, unspecified"
318701015,Multiple open fractures of pelvis with disruption of pelvic circle
318702010,"Open fracture pelvis, ischial tuberosity"
318703017,"Open fracture pelvis, anterior superior iliac spine"
318704011,"Open fracture pelvis, anterior inferior iliac spine"
318705012,"Open fracture pelvis, iliac wing"
318707016,Open vertical fracture of ilium
318709018,Other open fracture of pelvis
318718016,Closed fracture of pelvis
318719012,Open fracture of pelvis NOS
3247631000006119,Open fracture of pelvic rim
325247012,Fractures involving thorax with lower back and pelvis
325688019,[X]Sequelae of other fracture of thorax and pelvis
3477831000006115,Open fracture of ilium
3525245015,Bilateral sacral insufficiency fracture
3564911000006110,Open fracture of sacrum AND/OR coccyx with spinal cord injury
3580161000006116,Manual reduction of closed fracture of acetabulum and skeletal traction
3622751000006115,Reduction of closed iliac fracture
3750501000006117,Open fracture of ischium
3755331000006114,Reduction of closed pubic fracture
3760841000006113,Fracture of pelvis
3760851000006110,Pelvic fracture
3762541000006110,Open fracture of acetabulum
3824141000006116,Closed fracture of sacrum AND/OR coccyx without spinal cord injury
4198091000006119,Open fracture of sacrum AND/OR coccyx with complete cauda equina lesion
4353011000006118,Closed fracture of sacrum AND/OR coccyx with cauda equina injury
4353021000006114,Open fracture of sacrum AND/OR coccyx with cauda equina injury
4840551000006115,Fracture of lumbar spine and/or pelvis
4840571000006113,Multiple fractures of lumbar spine and/or pelvis
4841391000006113,Closed fracture of pubis
4841521000006118,Closed fracture dislocation of sacroiliac joint
4841581000006119,Open fracture dislocation of sacroiliac joint
4850221000006112,Open fracture dislocation of pelvis
4850261000006118,Closed fracture subluxation of pelvis
4850301000006110,Open fracture subluxation of pelvis
5460441000006112,Fracture dislocation of sacroiliac joint
5460451000006114,Fracture dislocation of symphysis pubis
5460751000006118,Fracture subluxation of sacroiliac joint
5460761000006116,Fracture subluxation of symphysis pubis
5462171000006114,Vertical fracture of ilium
5462181000006112,Fracture of iliac crest
5462191000006110,Fracture of single pubic ramus
5462201000006113,Fracture of multiple pubic rami
5462211000006111,Fracture of ischium
5462221000006115,Fracture of ischial tuberosity
5462231000006117,Multiple pelvic fractures
5532041000006117,Fracture of iliac wing
5532051000006115,Fracture of blade of ilium
561821000006117,Closed fracture dislocation of sacro-iliac joint
562351000006114,Closed fracture involving thorax wth lower back and pelvis and limbs
562841000006118,Closed fracture of coccyx with unspec spinal cord lesion
563691000006115,Closed fracture of sacrum with unspec spinal cord lesion
565331000006113,Closed fracture dislocation of pelvis
565651000006110,Closed fracture-subluxation of pelvis
5657701000006110,Fracture dislocation of lumbosacral junction
5658411000006118,Acetabular fracture types
5722071000006111,Pathological fracture - pelvis and/or thigh
5722081000006114,Pathological fracture - pelvis/thigh
5731201000006117,Fracture sacrum/coccyx - no cord lesion
5731211000006119,Fracture sacrum/coccyx with cord lesion
5888181000006118,Fracture of superior pubic ramus
5888191000006115,Fracture of inferior pubic ramus
5898361000006113,Central fracture dislocation acetabulum
60285012,Fracture of pubis
7054301000006112,Pathological fracture of pelvis
7062761000006113,Closed avulsion fracture of anterior inferior iliac spine of pelvis
7062771000006118,"Closed avulsion fracture pelvis, anterior inferior iliac spine"
7066941000006113,Closed fracture of acetabulum with dislocation of hip
7081901000006115,Multiple unstable closed lateral compression fractures of pelvis
7089691000006117,Multiple unstable closed vertical shear fractures of pelvis
7089701000006117,Closed fracture of sacrum without spinal cord injury
7092681000006111,Closed avulsion fracture of anterior superior iliac spine of pelvis
7092691000006114,"Closed avulsion fracture pelvis, anterior superior iliac spine"
7099541000006112,Multiple closed anterior-posterior compression fractures of pelvis
7105181000006119,Multiple stable closed lateral compression fractures of pelvis
7108361000006118,Closed fracture of triradiate cartilage and epiphysis of acetabulum
7128361000006113,Stress fracture of pelvis
7236831000006111,Closed reduction of fracture of acetabulum
7250871000006111,Stress fracture of pubis
7256531000006112,Stress fracture of sacrum
7489171000006117,Open reduction of fracture of pelvic bone with internal fixation
7489181000006119,Open reduction of fracture of bone of pelvis with internal fixation
7489191000006116,Open reduction of fracture of acetabulum with internal fixation
7489201000006118,Open reduction of fracture of wall of acetabulum with internal fixation
7489211000006115,Open reduction of transverse fracture of acetabulum with internal fixation
7489221000006111,Open reduction of fracture of column of acetabulum with internal fixation
7489231000006114,Open reduction of fracture of iliac spine of pelvis with internal fixation
7489241000006116,Open reduction of fracture of iliac spine with internal fixation
7489261000006117,Open reduction of fracture of bone of anterior ring of pelvis with internal fixation
7489271000006112,Open reduction of fracture of bone of posterior ring of pelvis with internal fixation
7515181000006111,Open fracture of sacrum without spinal cord injury
7515191000006114,Open fracture of coccyx without spinal cord injury
7585851000006112,Stress fracture of pubic rami
7590301000006114,Open transverse fracture of acetabulum
7591061000006116,Closed transverse fracture of acetabulum
7591691000006119,Open fracture of anterior wall of acetabulum
7591701000006119,Open acetabulum anterior wall fracture
7591711000006116,Open fracture of posterior wall of acetabulum
7591721000006112,Open acetabulum posterior wall fracture
7598611000006115,Closed fracture of anterior wall of acetabulum
7598621000006111,Closed acetabulum anterior wall fracture
7598841000006115,Open fracture of medial wall of acetabulum
7598851000006118,Open acetabulum medial wall fracture
7598861000006116,Closed fracture of medial wall of acetabulum
7598871000006111,Closed acetabulum medial wall fracture
7598881000006114,Open fracture of anterior column and posterior column of acetabulum
7598891000006112,Open acetabulum combined anterior posterior column fracture
7598901000006111,Closed fracture of anterior column and posterior column of acetabulum
7598911000006114,Closed acetabulum combined anterior posterior column fracture
7598941000006113,Closed fracture of posterior wall of acetabulum
7598951000006110,Closed acetabulum posterior wall fracture
7599051000006117,Open fracture of roof of acetabulum
7599061000006115,Open acetabulum dome fracture
7599071000006110,Closed fracture of roof of acetabulum
7599081000006113,Closed acetabulum dome fracture
7599091000006111,Open transverse and posterior wall fracture of acetabulum
7599101000006117,Open acetabulum associated transverse posterior wall fracture
7599111000006119,Closed transverse and posterior wall fracture of acetabulum
7599121000006110,Closed acetabulum associated transverse posterior wall fracture
7641351000006118,Closed reduction of fracture of pelvis and internal fixation
7834771000006119,Fracture of pelvic bone without disruption of posterior arch of pelvic ring
7834781000006116,Fracture of acetabulum without disruption of pelvic ring
7834791000006118,Fracture of pubis without disruption of pelvic ring
7834801000006117,Fracture of ischium without disruption of pelvic ring
7834811000006119,Fracture of pelvic ring with incomplete disruption of posterior arch
7834821000006110,Fracture of pelvic ring with complete disruption of posterior arch
7835491000006111,Fracture of ilium without disruption of pelvic ring
7839011000006112,Fracture of sacrum without disruption of pelvic ring
792411000006118,Fractures involving thorax with lower back and pelvis with limb(s)
892431000006110,Path.fracture - pelvis/thigh
9382971000006113,Multiple closed anterior-posterior compression fractures of pelvis with stable pelvic ring
9382981000006111,Multiple closed anterior-posterior compression fractures of pelvis with unstable pelvic ring
9383101000006114,Pathological fracture of pelvis due to neoplastic disease
9383111000006112,Pelvis fracture due to tumor
9383121000006116,Pelvis fracture due to tumour
9383211000006118,Multiple open anterior-posterior compression fractures of pelvis with unstable pelvic ring
9383231000006112,Multiple open lateral compression fractures of pelvis with unstable pelvic ring
9383241000006119,Multiple open vertical shear fractures of pelvis with unstable pelvic ring
9383261000006115,Multiple open anterior-posterior compression fractures of pelvis with stable pelvic ring
9383271000006110,Multiple open lateral compression fractures of pelvis with stable pelvic ring
9383981000006119,Pathological fracture of sacral vertebra due to osteoporosis
9383991000006116,Osteoporotic fracture of sacral vertebra
9384041000006110,Pathological fracture of sacral vertebra due to neoplastic disease
9384051000006112,Sacral vertebra fracture due to tumour
9384061000006114,Sacral vertebra fracture due to tumor
9384071000006119,Pathological fracture of sacral vertebra
9384111000006110,Pathological fracture of sacral vertebra due to secondary osteoporosis
9384121000006119,Secondary osteoporotic fracture of sacral vertebra
9674771000006117,Fracture of pubic tubercle
10155491000006114,Burst fracture of fourth thoracic vertebra
11049601000006116,Compression fracture of second lumbar vertebra
11108631000006118,Fracture of pedicle of fourth cervical vertebra
11109651000006115,Fracture of pedicle of fifth cervical vertebra
11151921000006111,Burst fracture of ninth thoracic vertebra
1220723013,Fracture of thoracic vertebra
1220724019,Fracture of lumbar vertebra
12480531000006118,[X]Sequelae of other fracture of thorax and pelvis
12488721000006110,Fracture of spine with spinal cord lesion
12488731000006113,Fracture of spine with spinal cord lesion NOS
12488741000006115,Fracture of vertebra with spinal cord lesion
12728571000006118,Fracture of spine with spinal cord lesion NOS
12729431000006111,Fracture of spine without mention of spinal cord lesion NOS
12732571000006118,Other specified decompression of fracture of spine
149541000006114,Sequelae of other fracture of thorax and pelvis
159451000006113,Rvsn open reduc spinal fracture+other external stabilisation
159461000006110,Rvsn open reduc spinal fracture+other internal fix
1682801000000118,Removal of fracture fixation device from spine
204951000006110,Primary open reduction spinal fracture and internal fixation with internal fixator
204961000006112,Primary open reduction spinal fracture and internal fixation with plate
204971000006117,Primary open reduction spinal fracture and internal fixation with rod system
204981000006119,Primary open reduction spinal fracture and internal fixation with wire
204991000006116,Primary open reduc spinal fracture+other internal fix
205441000006119,Primary opn reduc spinal fracture+other external stabilisatn
205451000006117,Primary open reduction spinal fracture and skull traction stabilisation
205471000006110,Primary open reduction spinal fracture and bedrest stabilisation
210051000006117,Primary closed reduction spinal fracture and skull traction stabilisation
210061000006115,Primary cls reduct spinal fracture+oth external stabilisatn
210111000006119,Primary closed reduction spinal fracture and bedrest stabilisation
210141000006115,Primary closed reduction spinal fracture and external fixation
2526081000006114,Fracture of vertebral column with spinal cord injury
259481000006119,Open fracture involving thorax wth lower back and pelvis and limbs
2644491000006115,Open fracture of fourth cervical vertebra without spinal cord injury
2649011000006118,Sequelae of fracture of spine
265391000006117,"Open spinal fracture with central thoracic cord lesion, T7-12"
2668241000006113,Open fracture of vertebral column with spinal cord injury
2687681000006118,Closed fracture of axis without spinal cord injury
2713831000006118,Closed fracture of multiple cervical vertebrae without spinal cord injury
2728781000006111,Reduction of fracture of spine
2728791000006114,Reduction of fracture of vertebra
2749031000006117,Open fracture of second cervical vertebra without spinal cord injury
2749041000006110,Open fracture of axis without spinal cord injury
2749351000006114,Fracture of vertebral column without spinal cord injury
276467013,Decompression of fracture of spine
276468015,Complex decompression of fracture of spine
276469011,Anterior decompression of fracture of spine
276470012,Posterior decompression of fracture of spine
276471011,Other specified decompression of fracture of spine
276474015,Decompression of fracture of spine NOS
276481010,Open reduction of fracture of spine NEC
276483013,Spinal extension traction for fracture of spine
276484019,Halo skull traction for fracture of spine
276485018,Spinal traction for fracture of spine NEC
276487014,Primary bedrest stabilisation of spinal fracture
276491016,Primary skull traction stabilisation of spinal fracture
276495013,Primary external fixation stabilisation of spinal fracture
276496014,Primary other external stabilisation of spinal fracture
276510019,Primary closed reduction spinal fracture alone
276534012,Primary open reduction spinal fracture alone
276543015,Primary open reduction spinal fracture and external fixation
276559015,Other specified other reduction of fracture of spine
276560013,Other reduction of fracture of spine NOS
276566019,Fixation of fracture of spine using Harrington rod
276582018,Other specified fixation of fracture of spine
276583011,Fixation of fracture of spine NOS
2777201000006111,Closed fracture of lumbar vertebra without spinal cord injury
2812621000006110,Open reduction of spinal fracture
2866231000006111,Closed fracture of vertebral column with spinal cord injury
2956601000006119,Closed fracture of vertebral column without spinal cord injury
3000811000006113,Open fracture of thoracic vertebra without spinal cord injury
3000821000006117,Open fracture of dorsal vertebra without spinal cord injury
3063751000006112,Open fracture of fifth cervical vertebra without spinal cord injury
311305016,Fatigue fracture of vertebra
3114621000006119,Open fracture of vertebral column without spinal cord injury
312617013,Fracture of vertebral column
3161651000006112,Open fracture of lumbar vertebra without spinal cord injury
318353013,Closed fracture of unspecified cervical vertebra
318375010,"Closed fracture atlas, isolated arch or articular process"
318376011,"Closed fracture atlas, comminuted"
318377019,"Closed fracture axis, odontoid process"
318378012,"Closed fracture axis, spondylolysis"
318379016,"Closed fracture axis, spinous process"
318380018,"Closed fracture axis, transverse process"
318381019,"Closed fracture axis, posterior arch"
318382014,"Closed fracture axis, tricolumnar"
318383016,"Closed fracture cervical vertebra, burst"
318384010,"Closed fracture cervical vertebra, wedge"
318385011,"Closed fracture cervical vertebra, spondylolysis"
318386012,"Closed fracture cervical vertebra, spinous process"
318387015,"Closed fracture cervical vertebra, transverse process"
318388013,"Closed fracture cervical vertebra, posterior arch"
318389017,"Closed fracture cervical vertebra, tricolumnar"
318390014,Multiple closed fractures of cervical vertebrae
318391013,Closed fracture of cervical spine not otherwise specified
318396015,Open fracture of unspecified cervical vertebra
318418017,"Open fracture atlas, isolated arch or articular process"
318419013,"Open fracture atlas, comminuted"
318420019,"Open fracture axis, odontoid process"
318421015,"Open fracture axis, spondylolysis"
318422010,"Open fracture axis, spinous process"
318423017,"Open fracture axis, transverse process"
318424011,"Open fracture axis, posterior arch"
318425012,"Open fracture axis, tricolumnar"
318426013,"Open fracture cervical vertebra, burst"
318427016,"Open fracture cervical vertebra, wedge"
318428014,"Open fracture cervical vertebra, spondylolysis"
318429018,"Open fracture cervical vertebra, spinous process"
318430011,"Open fracture cervical vertebra, transverse process"
318431010,"Open fracture cervical vertebra, posterior arch"
318432015,"Open fracture cervical vertebra, tricolumnar"
318433013,Multiple open fractures of cervical vertebrae
318434019,Open fracture of cervical spine not otherwise specified
318435018,Closed fracture thoracic vertebra
318436017,"Closed fracture thoracic vertebra, burst"
318437014,"Closed fracture thoracic vertebra, wedge"
318438016,"Closed fracture thoracic vertebra, spondylolysis"
318439012,"Closed fracture thoracic vertebra, spinous process"
318440014,"Closed fracture thoracic vertebra, transverse process"
318441013,"Closed fracture thoracic vertebra, posterior arch"
318442018,"Closed fracture thoracic vertebra, tricolumnar"
318443011,Other specified closed fracture thoracic vertebra
318445016,Closed fracture thoracic vertebra not otherwise specified
318446015,Open fracture thoracic vertebra
318447012,"Open fracture thoracic vertebra, burst"
318448019,"Open fracture thoracic vertebra, wedge"
318449010,"Open fracture thoracic vertebra, spondylolysis"
318450010,"Open fracture thoracic vertebra, spinous process"
318451014,"Open fracture thoracic vertebra, transverse process"
318452019,"Open fracture thoracic vertebra, posterior arch"
318453012,"Open fracture thoracic vertebra, tricolumnar"
318454018,Closed fracture lumbar vertebra
318455017,"Closed fracture lumbar vertebra, burst"
318456016,"Closed fracture lumbar vertebra, wedge"
318457013,"Closed fracture lumbar vertebra, spondylolysis"
318458015,"Closed fracture lumbar vertebra, spinous process"
318459011,"Closed fracture lumbar vertebra, transverse process"
318460018,"Closed fracture lumbar vertebra, posterior arch"
