medcodeid	term
303518014	toxic liver disease with fibrosis and cirrhosis of liver
303525019	hepatic granulomas in sarcoidosis
303614019	primary sclerosing cholangitis
303781011	[x]other and unspecified cirrhosis of liver
30458014	transplantation of liver
3059491000006115	pht - portal hypertension
31211000006119	orthotopic transplantation of liver
314032018	congenital absence of hepatic ducts
314033011	agenesis of hepatic ducts
314034017	atresia of hepatic ducts
314035016	biliary atresia nos
3175071000006117	cph - chronic persistent hepatitis
3206871000006111	macronodular cirrhosis
3206891000006112	pnc - postnecrotic cirrhosis
3206901000006111	multilobar cirrhosis
324976011	liver transplant failure and rejection
325081012	hepatorenal syndrome as a complication of care
3268012	congenital absence of bile duct
3269016	agenesis of bile duct
3331281000006115	hrf - hepatorenal failure
3331291000006117	hepatorenal failure
3336411000006117	cirrhosis of lung
3431801000006116	clh - chronic lobular hepatitis
3507191000006112	chronic type b viral hepatitis
3515871000006112	fibrosis of liver
352566017	sengstaken intubation of oesophagus
352567014	blakemore intubation of oesophagus
352929018	exploration of liver transplant
3532180010	liver transplant recipient
353580016	chronic viral hepatitis b with delta-agent
353594015	alcoholic fibrosis and sclerosis of liver
353595019	alcoholic hepatic failure
353613017	cirrhosis of liver nos
353621011	laennec's cirrhosis, non-alcoholic
353625019	hepatic sclerosis
353627010	hepatic fibrosis with hepatic sclerosis
3595991000006116	ligation of esophageal varices
3607721000006115	congenital short bile duct
3713561000006119	cardiac cirrhosis
3713571000006114	congestive cirrhosis
3748781000006119	ch - chronic hepatitis
3760671000006116	congenital biliary atresia
3760691000006115	atresia of bile ducts
3760701000006115	ba - biliary atresia
376141000000113	orthotopic transplantation of liver nec
3796401000006114	fatty metamorphosis of liver
3847441000006119	congenital atresia of extrahepatic bile duct
3847451000006117	extrahepatic biliary atresia
3847461000006115	ehba - extrahepatic biliary atresia
394102015	other specified open operation on oesophageal varices
394251013	roux-en-y procedure for biliary atresia
396390012	multilobular portal cirrhosis
396391011	cardiac portal cirrhosis
396392016	juvenile portal cirrhosis
396393014	non-alcoholic cirrhosis nos
396394015	other sequelae of chronic liver disease
3980471000006110	gastric varix
4044018	biliary cirrhosis
4407011000006114	chronic type c viral hepatitis
451124014	chronic alcoholic hepatitis
451442010	oesophageal varices in cirrhosis of the liver
453265010	oesophageal varices in alcoholic cirrhosis of the liver
456800015	oesophageal varices nos
460651015	[v]liver transplanted
461319017	[v]assessment for liver transplant
4656461000006114	open operations on esophageal varices
4656511000006112	open injection sclerotherapy to esophageal varices
4656741000006118	fibreoptic oesophagoscopy and injection sclerotherapy of varices
4656751000006116	fiberoptic endoscopic injection sclerotherapy to esophageal varices
4656761000006119	fiberoptic esophagoscopy and injection sclerotherapy of varices
4656781000006112	fibreoptic oesophagoscopy and banding of oesophageal varices
4656791000006110	fiberoptic endoscopic banding of esophageal varices
4656811000006114	fiberoptic esophagoscopy and banding of esophageal varices
4657131000006113	rigid oesophagoscopy and injection sclerotherapy of varices
4657151000006118	rigid esophagoscopy and injection sclerotherapy of varices
4657161000006116	endoscopic injection sclerotherapy to varices of esophagus using rigid esophagoscope
4657171000006111	rigid oesophagoscopy and banding of oesophageal varices
4657181000006114	rigid esophagoscopic banding of esophageal varices
4657191000006112	rigid esophagoscopy and banding of esophageal varices
4657381000006111	balloon tamponade of oesophagus
4657391000006114	balloon tamponade of esophageal varices
4657401000006111	balloon tamponade of oesophageal varices
4657411000006114	balloon tamponade of esophagus
4661751000006118	orthotopic liver transplant
4661761000006116	orthotopic transplantation of liver
4661781000006114	auxiliary liver transplant
4661791000006112	piggy-back liver transplant
476611000006116	alcoholic cirrhosis of liver
477604016	mixed portal cirrhosis
4779691000006115	oesophageal varices associated with another disorder
4779711000006117	esophageal varices associated with another disorder
4779721000006113	oesophageal varices with bleeding, associated with another disorder
4779741000006118	esophageal varices with bleeding, associated with another disorder
4779751000006116	oesophageal varices without bleeding, associated with another disorder
4779771000006114	esophageal varices without bleeding, associated with another disorder
4787131000006111	cah - chronic active hepatitis
4787151000006116	cah - chronic aggressive hepatitis
4787221000006115	pipestem portal cirrhosis
4787261000006114	zooparasitic portal cirrhosis
4787861000006113	psc - primary sclerosing cholangitis
48003016	oesophageal varices
493707012	hypertrophic portal cirrhosis
500401000006116	auxillary liver transplant
5077141000006116	balloon tamponade of oesophagus using sengstaken-blakemore tube
5077151000006119	blakemore intubation of esophagus
5077161000006117	sengstaken intubation of esophagus
5077191000006113	balloon tamponade of esophagus using sengstaken-blakemore tube
5086651000006118	chronic viral hepatitis b with hepatitis d
5086991000006115	laennec cirrhosis, non-alcoholic
511611000006113	bile duct atresia
52980015	primary biliary cirrhosis
53033015	alagille syndrome
5334681000006114	intrahepatic biliary atresia
538081000000115	compensation for liver failure
538101000000114	compensation for liver failure nos
538121000000117	other specified compensation for liver failure
5493041000006114	cirrhosis, nonalcoholic
5493051000006111	cirrhosis of liver not due to alcohol
550431000006116	childhood function cirrhosis
5524681000006114	cirrhosis secondary to cholestasis
553311000006111	chronic aggressive hepatitis
557071000006112	chronic viral hepatitis c
557081000006110	chronic viral hepatitis, unspecified
55851000006118	xanthomatous portal cirrhosis
57989014	portal hypertension
5975531000006117	esophageal varices in cirrhosis of the liver
5992721000006114	esophageal varices in alcoholic cirrhosis of the liver
603321000006118	cryptogenic cirrhosis of liver
660151000006116	extrahepatic atresia of bile duct
6617771000006112	bronze cirrhosis
6617781000006110	bronzed cirrhosis
68294019	viral hepatitis with hepatic coma
683211000000113	chronic hepatitis annual review
6941931000006112	laennec's cirrhosis
6941941000006119	pc - portal cirrhosis
6947461000006115	alcoholic cirrhosis
6947471000006110	alcoholic liver cirrhosis
69895016	chronic persistent hepatitis
7065101000006116	fiberoptic endoscopic rubber band ligation of upper gastrointestinal tract varices
708811000006119	fibreoptic endoscopic injection sclerotherapy oesoph varices
731231000006114	macronodular cirrhosis of liver
737961000006116	local ligation of oesophageal varices
739931000006118	liver transplant with complication, without blame
768541000006118	intrahepatic atresia of bile duct
803961000006119	glycogenosis with hepatic cirrhosis
820381000006112	hepatic fibrosis
822591000006117	heterotopic transplantation of liver
8242561000006112	cirrhosis associated with cystic fibrosis
85441018	hepatorenal syndrome
85961019	cirrhosis of lung
862761000006111	oesophageal vessels ligated
862771000006116	oesophageal varices injected
864281000006116	liver transplant
864291000006118	total hepatectomy
906081000006114	[rfc] cirrhosis
95368015	chronic lobular hepatitis
987751000006119	oesophageal varices injected
