readcode	readterm
B010.11	Malignant neoplasm of posterior third of tongue
B010000	Malignant neoplasm of base of tongue dorsal surface
B010z00	Malignant neoplasm of fixed part of tongue NOS
B011.00	Malignant neoplasm of dorsal surface of tongue
B011000	Malignant neoplasm of anterior 2/3 of tongue dorsal surface
B011100	Malignant neoplasm of midline of tongue
B011z00	Malignant neoplasm of dorsum of tongue NOS
B012.00	Malignant neoplasm of tongue, tip and lateral border
B013.00	Malignant neoplasm of ventral surface of tongue
B013000	Malignant neoplasm of anterior 2/3 of tongue ventral surface
B013100	Malignant neoplasm of frenulum linguae
B013z00	Malignant neoplasm of ventral tongue surface NOS
B014.00	Malignant neoplasm of anterior 2/3 of tongue unspecified
B015.00	Malignant neoplasm of tongue, junctional zone
B016.00	Malignant neoplasm of lingual tonsil
B017.00	Malignant overlapping lesion of tongue
B01y.00	Malignant neoplasm of other sites of tongue
B01z.00	Malignant neoplasm of tongue NOS
B02..00	Malignant neoplasm of major salivary glands
B020.00	Malignant neoplasm of parotid gland
B021.00	Malignant neoplasm of submandibular gland
B022.00	Malignant neoplasm of sublingual gland
B023.00	Malignant neoplasm, overlapping lesion of major saliv gland
B02y.00	Malignant neoplasm of other major salivary glands
B02z.00	Malignant neoplasm of major salivary gland NOS
B03..00	Malignant neoplasm of gum
B030.00	Malignant neoplasm of upper gum
B031.00	Malignant neoplasm of lower gum
B03y.00	Malignant neoplasm of other sites of gum
B03z.00	Malignant neoplasm of gum NOS
B04..00	Malignant neoplasm of floor of mouth
B040.00	Malignant neoplasm of anterior portion of floor of mouth
B041.00	Malignant neoplasm of lateral portion of floor of mouth
B042.00	Malignant neoplasm, overlapping lesion of floor of mouth
B04y.00	Malignant neoplasm of other sites of floor of mouth
B04z.00	Malignant neoplasm of floor of mouth NOS
B05..00	Malignant neoplasm of other and unspecified parts of mouth
B050.00	Malignant neoplasm of cheek mucosa
B050.11	Malignant neoplasm of buccal mucosa
B051.00	Malignant neoplasm of vestibule of mouth
B051000	Malignant neoplasm of upper buccal sulcus
B051100	Malignant neoplasm of lower buccal sulcus
B051z00	Malignant neoplasm of vestibule of mouth NOS
B052.00	Malignant neoplasm of hard palate
B053.00	Malignant neoplasm of soft palate
B054.00	Malignant neoplasm of uvula
B055.00	Malignant neoplasm of palate unspecified
B055000	Malignant neoplasm of junction of hard and soft palate
B055100	Malignant neoplasm of roof of mouth
B055z00	Malignant neoplasm of palate NOS
B056.00	Malignant neoplasm of retromolar area
B05y.00	Malignant neoplasm of other specified mouth parts
B05z.00	Malignant neoplasm of mouth NOS
B05z000	Kaposi's sarcoma of palate
B06..00	Malignant neoplasm of oropharynx
B060.00	Malignant neoplasm of tonsil
B060000	Malignant neoplasm of faucial tonsil
B060100	Malignant neoplasm of palatine tonsil
B060200	Malignant neoplasm of overlapping lesion of tonsil
B060z00	Malignant neoplasm tonsil NOS
B061.00	Malignant neoplasm of tonsillar fossa
B062.00	Malignant neoplasm of tonsillar pillar
B062000	Malignant neoplasm of faucial pillar
B062100	Malignant neoplasm of glossopalatine fold
B062200	Malignant neoplasm of palatoglossal arch
B062300	Malignant neoplasm of palatopharyngeal arch
B062z00	Malignant neoplasm of tonsillar fossa NOS
B063.00	Malignant neoplasm of vallecula
B064.00	Malignant neoplasm of anterior epiglottis
B064000	Malignant neoplasm of epiglottis, free border
B064100	Malignant neoplasm of glossoepiglottic fold
B064z00	Malignant neoplasm of anterior epiglottis NOS
B065.00	Malignant neoplasm of junctional region of epiglottis
B066.00	Malignant neoplasm of lateral wall of oropharynx
B067.00	Malignant neoplasm of posterior wall of oropharynx
B06y.00	Malignant neoplasm of oropharynx, other specified sites
B06y000	Malignant neoplasm of branchial cleft
B06yz00	Malignant neoplasm of other specified site of oropharynx NOS
B06z.00	Malignant neoplasm of oropharynx NOS
B07..00	Malignant neoplasm of nasopharynx
B070.00	Malignant neoplasm of roof of nasopharynx
B071.00	Malignant neoplasm of posterior wall of nasopharynx
B071000	Malignant neoplasm of adenoid
B071100	Malignant neoplasm of pharyngeal tonsil
B071z00	Malignant neoplasm of posterior wall of nasopharynx NOS
B072.00	Malignant neoplasm of lateral wall of nasopharynx
B072000	Malignant neoplasm of pharyngeal recess
B072100	Malignant neoplasm of opening of auditory tube
B072z00	Malignant neoplasm of lateral wall of nasopharynx NOS
B073.00	Malignant neoplasm of anterior wall of nasopharynx
B073100	Malignant neoplasm of nasopharyngeal soft palate surface
B073200	Malignant neoplasm posterior margin nasal septum and choanae
B073z00	Malignant neoplasm of anterior wall of nasopharynx NOS
B074.00	Malignant neoplasm, overlapping lesion of nasopharynx
B07y.00	Malignant neoplasm of other specified site of nasopharynx
B07z.00	Malignant neoplasm of nasopharynx NOS
B08..00	Malignant neoplasm of hypopharynx
B080.00	Malignant neoplasm of postcricoid region
B081.00	Malignant neoplasm of pyriform sinus
B082.00	Malignant neoplasm aryepiglottic fold, hypopharyngeal aspect
B083.00	Malignant neoplasm of posterior pharynx
B084.00	Malignant neoplasm, overlapping lesion of hypopharynx
B08y.00	Malignant neoplasm of other specified hypopharyngeal site
B08z.00	Malignant neoplasm of hypopharynx NOS
B0z..00	Malig neop other/ill-defined sites lip, oral cavity, pharynx
B0z0.00	Malignant neoplasm of pharynx unspecified
B0z1.00	Malignant neoplasm of Waldeyer's ring
B0z2.00	Malignant neoplasm of laryngopharynx
B0zy.00	Malignant neoplasm of other sites lip, oral cavity, pharynx
B0zz.00	Malignant neoplasm of lip, oral cavity and pharynx NOS
B1...00	Malignant neoplasm of digestive organs and peritoneum
B1...11	Carcinoma of digestive organs and peritoneum
B10..00	Malignant neoplasm of oesophagus
B100.00	Malignant neoplasm of cervical oesophagus
B101.00	Malignant neoplasm of thoracic oesophagus
B102.00	Malignant neoplasm of abdominal oesophagus
B103.00	Malignant neoplasm of upper third of oesophagus
B104.00	Malignant neoplasm of middle third of oesophagus
B105.00	Malignant neoplasm of lower third of oesophagus
B106.00	Malignant neoplasm, overlapping lesion of oesophagus
B107.00	Siewert type I adenocarcinoma
B10y.00	Malignant neoplasm of other specified part of oesophagus
B10z.00	Malignant neoplasm of oesophagus NOS
B10z.11	Oesophageal cancer
B11..00	Malignant neoplasm of stomach
B110.00	Malignant neoplasm of cardia of stomach
B110000	Malignant neoplasm of cardiac orifice of stomach
B110100	Malignant neoplasm of cardio-oesophageal junction of stomach
B110111	Malignant neoplasm of gastro-oesophageal junction
B110z00	Malignant neoplasm of cardia of stomach NOS
B111.00	Malignant neoplasm of pylorus of stomach
B111000	Malignant neoplasm of prepylorus of stomach
B111100	Malignant neoplasm of pyloric canal of stomach
B111z00	Malignant neoplasm of pylorus of stomach NOS
B112.00	Malignant neoplasm of pyloric antrum of stomach
B113.00	Malignant neoplasm of fundus of stomach
B114.00	Malignant neoplasm of body of stomach
B115.00	Malignant neoplasm of lesser curve of stomach unspecified
B116.00	Malignant neoplasm of greater curve of stomach unspecified
B117.00	Malignant neoplasm, overlapping lesion of stomach
B118.00	Siewert type II adenocarcinoma
B119.00	Siewert type III adenocarcinoma
B11y.00	Malignant neoplasm of other specified site of stomach
B11y000	Malignant neoplasm of anterior wall of stomach NEC
B11y100	Malignant neoplasm of posterior wall of stomach NEC
B11yz00	Malignant neoplasm of other specified site of stomach NOS
B11z.00	Malignant neoplasm of stomach NOS
B12..00	Malignant neoplasm of small intestine and duodenum
B120.00	Malignant neoplasm of duodenum
B121.00	Malignant neoplasm of jejunum
B122.00	Malignant neoplasm of ileum
B123.00	Malignant neoplasm of Meckel's diverticulum
B124.00	Malignant neoplasm, overlapping lesion of small intestine
B12y.00	Malignant neoplasm of other specified site small intestine
B12z.00	Malignant neoplasm of small intestine NOS
B13..00	Malignant neoplasm of colon
B130.00	Malignant neoplasm of hepatic flexure of colon
B131.00	Malignant neoplasm of transverse colon
B132.00	Malignant neoplasm of descending colon
B133.00	Malignant neoplasm of sigmoid colon
B134.00	Malignant neoplasm of caecum
B134.11	Carcinoma of caecum
B135.00	Malignant neoplasm of appendix
B136.00	Malignant neoplasm of ascending colon
B137.00	Malignant neoplasm of splenic flexure of colon
B138.00	Malignant neoplasm, overlapping lesion of colon
B139.00	Hereditary nonpolyposis colon cancer
B13y.00	Malignant neoplasm of other specified sites of colon
B13z.00	Malignant neoplasm of colon NOS
B13z.11	Colonic cancer
B14..00	Malignant neoplasm of rectum, rectosigmoid junction and anus
B140.00	Malignant neoplasm of rectosigmoid junction
B141.00	Malignant neoplasm of rectum
B141.11	Carcinoma of rectum
B141.12	Rectal carcinoma
B142.00	Malignant neoplasm of anal canal
B142.11	Anal carcinoma
B142000	Malignant neoplasm of cloacogenic zone
B143.00	Malignant neoplasm of anus unspecified
B14y.00	Malig neop other site rectum, rectosigmoid junction and anus
B14z.00	Malignant neoplasm rectum,rectosigmoid junction and anus NOS
B15..00	Malignant neoplasm of liver and intrahepatic bile ducts
B150.00	Primary malignant neoplasm of liver
B150000	Primary carcinoma of liver
B150100	Hepatoblastoma of liver
B150200	Primary angiosarcoma of liver
B150300	Hepatocellular carcinoma
B150z00	Primary malignant neoplasm of liver NOS
B151.00	Malignant neoplasm of intrahepatic bile ducts
B151000	Malignant neoplasm of interlobular bile ducts
B151100	Malignant neoplasm of interlobular biliary canals
B151200	Malignant neoplasm of intrahepatic biliary passages
B151400	Malignant neoplasm of intrahepatic gall duct
B151z00	Malignant neoplasm of intrahepatic bile ducts NOS
B152.00	Malignant neoplasm of liver unspecified
B15z.00	Malignant neoplasm of liver and intrahepatic bile ducts NOS
B16..00	Malignant neoplasm gallbladder and extrahepatic bile ducts
B160.00	Malignant neoplasm of gallbladder
B160.11	Carcinoma gallbladder
B161.00	Malignant neoplasm of extrahepatic bile ducts
B161000	Malignant neoplasm of cystic duct
B161100	Malignant neoplasm of hepatic duct
B161200	Malignant neoplasm of common bile duct
B161211	Carcinoma common bile duct
B161300	Malignant neoplasm of sphincter of Oddi
B161z00	Malignant neoplasm of extrahepatic bile ducts NOS
B162.00	Malignant neoplasm of ampulla of Vater
B163.00	Malignant neoplasm, overlapping lesion of biliary tract
B16y.00	Malignant neoplasm other gallbladder/extrahepatic bile duct
B16z.00	Malignant neoplasm gallbladder/extrahepatic bile ducts NOS
B17..00	Malignant neoplasm of pancreas
B170.00	Malignant neoplasm of head of pancreas
B171.00	Malignant neoplasm of body of pancreas
B172.00	Malignant neoplasm of tail of pancreas
B173.00	Malignant neoplasm of pancreatic duct
B174.00	Malignant neoplasm of Islets of Langerhans
B175.00	Malignant neoplasm, overlapping lesion of pancreas
B17y.00	Malignant neoplasm of other specified sites of pancreas
B17y000	Malignant neoplasm of ectopic pancreatic tissue
B17yz00	Malignant neoplasm of specified site of pancreas NOS
B17z.00	Malignant neoplasm of pancreas NOS
B18..00	Malignant neoplasm of retroperitoneum and peritoneum
B180.00	Malignant neoplasm of retroperitoneum
B180000	Malignant neoplasm of periadrenal tissue
B180100	Malignant neoplasm of perinephric tissue
B180200	Malignant neoplasm of retrocaecal tissue
B180z00	Malignant neoplasm of retroperitoneum NOS
B181.00	Mesothelioma of peritoneum
B182.00	Overlapping malign lesion of retroperitoneum and peritoneum
B18y.00	Malignant neoplasm of specified parts of peritoneum
B18y000	Malignant neoplasm of mesocolon
B18y100	Malignant neoplasm of mesocaecum
B18y200	Malignant neoplasm of mesorectum
B18y300	Malignant neoplasm of omentum
B18y400	Malignant neoplasm of parietal peritoneum
B18y500	Malignant neoplasm of pelvic peritoneum
B18y600	Malignant neoplasm of the pouch of Douglas
B18y700	Malignant neoplasm of mesentery
B18yz00	Malignant neoplasm of specified parts of peritoneum NOS
B18z.00	Malignant neoplasm of retroperitoneum and peritoneum NOS
B1z..00	Malig neop oth/ill-defined sites digestive tract/peritoneum
B1z0.00	Malignant neoplasm of intestinal tract, part unspecified
B1z0.11	Cancer of bowel
B1z1.00	Malignant neoplasm of spleen NEC
B1z1000	Angiosarcoma of spleen
B1z1100	Fibrosarcoma of spleen
B1z1z00	Malignant neoplasm of spleen NOS
B1z2.00	Malignant neoplasm, overlapping lesion of digestive system
B1zy.00	Malignant neoplasm other spec digestive tract and peritoneum
B1zz.00	Malignant neoplasm of digestive tract and peritoneum NOS
B2...00	Malig neop of respiratory tract and intrathoracic organs
B2...11	Carcinoma of respiratory tract and intrathoracic organs
B20..00	Malig neop nasal cavities, middle ear and accessory sinuses
B200.00	Malignant neoplasm of nasal cavities
B200000	Malignant neoplasm of cartilage of nose
B200100	Malignant neoplasm of nasal conchae
B200200	Malignant neoplasm of septum of nose
B200300	Malignant neoplasm of vestibule of nose
B200z00	Malignant neoplasm of nasal cavities NOS
B201.00	Malig neop auditory tube, middle ear and mastoid air cells
B201000	Malignant neoplasm of auditory (Eustachian) tube
B201100	Malignant neoplasm of tympanic cavity
B201200	Malignant neoplasm of tympanic antrum
B201300	Malignant neoplasm of mastoid air cells
B201z00	Malig neop auditory tube, middle ear, mastoid air cells NOS
B202.00	Malignant neoplasm of maxillary sinus
B203.00	Malignant neoplasm of ethmoid sinus
B204.00	Malignant neoplasm of frontal sinus
B205.00	Malignant neoplasm of sphenoidal sinus
B206.00	Malignant neoplasm, overlapping lesion of accessory sinuses
B20y.00	Malig neop other site nasal cavity, middle ear and sinuses
B20z.00	Malignant neoplasm of accessory sinus NOS
B21..00	Malignant neoplasm of larynx
B210.00	Malignant neoplasm of glottis
B211.00	Malignant neoplasm of supraglottis
B212.00	Malignant neoplasm of subglottis
B213.00	Malignant neoplasm of laryngeal cartilage
B213000	Malignant neoplasm of arytenoid cartilage
B213100	Malignant neoplasm of cricoid cartilage
B213200	Malignant neoplasm of cuneiform cartilage
B213300	Malignant neoplasm of thyroid cartilage
B213z00	Malignant neoplasm of laryngeal cartilage NOS
B214.00	Malignant neoplasm, overlapping lesion of larynx
B215.00	Malignant neoplasm of epiglottis NOS
B21y.00	Malignant neoplasm of larynx, other specified site
B21z.00	Malignant neoplasm of larynx NOS
B22..00	Malignant neoplasm of trachea, bronchus and lung
B220.00	Malignant neoplasm of trachea
B220100	Malignant neoplasm of mucosa of trachea
B220z00	Malignant neoplasm of trachea NOS
B221.00	Malignant neoplasm of main bronchus
B221000	Malignant neoplasm of carina of bronchus
B221100	Malignant neoplasm of hilus of lung
B221z00	Malignant neoplasm of main bronchus NOS
B222.00	Malignant neoplasm of upper lobe, bronchus or lung
B222.11	Pancoast's syndrome
B222000	Malignant neoplasm of upper lobe bronchus
B222100	Malignant neoplasm of upper lobe of lung
B222z00	Malignant neoplasm of upper lobe, bronchus or lung NOS
B223.00	Malignant neoplasm of middle lobe, bronchus or lung
B223000	Malignant neoplasm of middle lobe bronchus
B223100	Malignant neoplasm of middle lobe of lung
B223z00	Malignant neoplasm of middle lobe, bronchus or lung NOS
B224.00	Malignant neoplasm of lower lobe, bronchus or lung
B224000	Malignant neoplasm of lower lobe bronchus
B224100	Malignant neoplasm of lower lobe of lung
B224z00	Malignant neoplasm of lower lobe, bronchus or lung NOS
B225.00	Malignant neoplasm of overlapping lesion of bronchus & lung
B226.00	Mesothelioma
B22y.00	Malignant neoplasm of other sites of bronchus or lung
B22z.00	Malignant neoplasm of bronchus or lung NOS
B22z.11	Lung cancer
B23..00	Malignant neoplasm of pleura
B230.00	Malignant neoplasm of parietal pleura
B231.00	Malignant neoplasm of visceral pleura
B232.00	Mesothelioma of pleura
B23y.00	Malignant neoplasm of other specified pleura
B23z.00	Malignant neoplasm of pleura NOS
B24..00	Malignant neoplasm of thymus, heart and mediastinum
B240.00	Malignant neoplasm of thymus
B241.00	Malignant neoplasm of heart
B241000	Malignant neoplasm of endocardium
B241200	Malignant neoplasm of myocardium
B241300	Malignant neoplasm of pericardium
B241400	Mesothelioma of pericardium
B241z00	Malignant neoplasm of heart NOS
B242.00	Malignant neoplasm of anterior mediastinum
B243.00	Malignant neoplasm of posterior mediastinum
B24X.00	Malignant neoplasm of mediastinum, part unspecified
B24y.00	Malig neop of other site of heart, thymus and mediastinum
B24z.00	Malignant neoplasm of heart, thymus and mediastinum NOS
B25..00	Malig neo, overlapping lesion of heart, mediastinum & pleura
B26..00	Malignant neoplasm, overlap lesion of resp & intrathor orgs
B2z..00	Malig neop other/ill-defined sites resp/intrathoracic organs
B2z0.00	Malig neop of upper respiratory tract, part unspecified
B2zy.00	Malignant neoplasm of other site of respiratory tract
B2zz.00	Malignant neoplasm of respiratory tract NOS
B3...00	Malig neop of bone, connective tissue, skin and breast
B3...11	Carcinoma of bone, connective tissue, skin and breast
B3...12	Sarcoma of bone and connective tissue
B30..00	Malignant neoplasm of bone and articular cartilage
B300.00	Malignant neoplasm of bones of skull and face
B300000	Malignant neoplasm of ethmoid bone
B300100	Malignant neoplasm of frontal bone
B300200	Malignant neoplasm of malar bone
B300300	Malignant neoplasm of nasal bone
B300400	Malignant neoplasm of occipital bone
B300500	Malignant neoplasm of orbital bone
B300600	Malignant neoplasm of parietal bone
B300700	Malignant neoplasm of sphenoid bone
B300800	Malignant neoplasm of temporal bone
B300900	Malignant neoplasm of zygomatic bone
B300A00	Malignant neoplasm of maxilla
B300B00	Malignant neoplasm of turbinate
B300C00	Malignant neoplasm of vomer
B300z00	Malignant neoplasm of bones of skull and face NOS
B301.00	Malignant neoplasm of mandible
B302.00	Malignant neoplasm of vertebral column
B302000	Malignant neoplasm of cervical vertebra
B302100	Malignant neoplasm of thoracic vertebra
B302200	Malignant neoplasm of lumbar vertebra
B302z00	Malignant neoplasm of vertebral column NOS
B303.00	Malignant neoplasm of ribs, sternum and clavicle
B303000	Malignant neoplasm of rib
B303100	Malignant neoplasm of sternum
B303200	Malignant neoplasm of clavicle
B303300	Malignant neoplasm of costal cartilage
B303400	Malignant neoplasm of costo-vertebral joint
B303500	Malignant neoplasm of xiphoid process
B303z00	Malignant neoplasm of rib, sternum and clavicle NOS
B304.00	Malignant neoplasm of scapula and long bones of upper arm
B304000	Malignant neoplasm of scapula
B304100	Malignant neoplasm of acromion
B304200	Malignant neoplasm of humerus
B304300	Malignant neoplasm of radius
B304400	Malignant neoplasm of ulna
B304z00	Malig neop of scapula and long bones of upper arm NOS
B305.00	Malignant neoplasm of hand bones
B305.11	Malignant neoplasm of carpal bones
B305.12	Malignant neoplasm of metacarpal bones
B305000	Malignant neoplasm of carpal bone - scaphoid
B305100	Malignant neoplasm of carpal bone - lunate
B305800	Malignant neoplasm of first metacarpal bone
B305900	Malignant neoplasm of second metacarpal bone
B305A00	Malignant neoplasm of third metacarpal bone
B305C00	Malignant neoplasm of fifth metacarpal bone
B305D00	Malignant neoplasm of phalanges of hand
B305z00	Malignant neoplasm of hand bones NOS
B306.00	Malignant neoplasm of pelvic bones, sacrum and coccyx
B306000	Malignant neoplasm of ilium
B306100	Malignant neoplasm of ischium
B306200	Malignant neoplasm of pubis
B306300	Malignant neoplasm of sacral vertebra
B306400	Malignant neoplasm of coccygeal vertebra
B306500	Malignant sacral teratoma
B306z00	Malignant neoplasm of pelvis, sacrum or coccyx NOS
B307.00	Malignant neoplasm of long bones of leg
B307000	Malignant neoplasm of femur
B307100	Malignant neoplasm of fibula
B307200	Malignant neoplasm of tibia
B307z00	Malignant neoplasm of long bones of leg NOS
B308.00	Malignant neoplasm of short bones of leg
B308.11	Malignant neoplasm of metatarsal bones of foot
B308000	Malignant neoplasm of patella
B308100	Malignant neoplasm of talus
B308200	Malignant neoplasm of calcaneum
B308300	Malignant neoplasm of medial cuneiform
B308800	Malignant neoplasm of first metatarsal bone
B308900	Malignant neoplasm of second metatarsal bone
B308B00	Malignant neoplasm of fourth metatarsal bone
B308D00	Malignant neoplasm of phalanges of foot
B308z00	Malignant neoplasm of short bones of leg NOS
B30W.00	Malignant neoplasm/overlap lesion/bone+articulr cartilage
B30X.00	Malignant neoplasm/bones+articular cartilage/limb,unspfd
B30z.00	Malignant neoplasm of bone and articular cartilage NOS
B30z000	Osteosarcoma
B31..00	Malignant neoplasm of connective and other soft tissue
B310.00	Malig neop of connective and soft tissue head, face and neck
B310000	Malignant neoplasm of soft tissue of head
B310100	Malignant neoplasm of soft tissue of face
B310200	Malignant neoplasm of soft tissue of neck
B310400	Malignant neoplasm of tarsus of eyelid
B310500	Malignant neoplasm soft tissues of cervical spine
B310z00	Malig neop connective and soft tissue head, face, neck NOS
B311.00	Malig neop connective and soft tissue upper limb/shoulder
B311000	Malignant neoplasm of connective and soft tissue of shoulder
B311100	Malignant neoplasm of connective and soft tissue, upper arm
B311200	Malignant neoplasm of connective and soft tissue of fore-arm
B311300	Malignant neoplasm of connective and soft tissue of hand
B311400	Malignant neoplasm of connective and soft tissue of finger
B311500	Malignant neoplasm of connective and soft tissue of thumb
B311z00	Malig neop connective soft tissue upper limb/shoulder NOS
B312.00	Malig neop of connective and soft tissue of hip and leg
B312000	Malignant neoplasm of connective and soft tissue of hip
B312100	Malig neop of connective and soft tissue thigh and upper leg
B312200	Malig neop connective and soft tissue of popliteal space
B312300	Malig neop of connective and soft tissue of lower leg
B312400	Malignant neoplasm of connective and soft tissue of foot
B312500	Malignant neoplasm of connective and soft tissue of toe
B312600	Malig neop of connective and soft tissue of great toe
B312z00	Malig neop connective and soft tissue hip and leg NOS
B313.00	Malignant neoplasm of connective and soft tissue of thorax
B313000	Malignant neoplasm of connective and soft tissue of axilla
B313100	Malignant neoplasm of diaphragm
B313200	Malignant neoplasm of great vessels
B313300	Malig neoplasm of connective and soft tissues of thor spine
B313z00	Malig neop of connective and soft tissue of thorax NOS
B314.00	Malignant neoplasm of connective and soft tissue of abdomen
B314000	Malig neop of connective and soft tissue of abdominal wall
B314100	Malig neoplasm of connective and soft tissues of lumb spine
B314z00	Malig neop of connective and soft tissue of abdomen NOS
B315.00	Malignant neoplasm of connective and soft tissue of pelvis
B315000	Malignant neoplasm of connective and soft tissue of buttock
B315100	Malig neop of connective and soft tissue of inguinal region
B315200	Malignant neoplasm of connective and soft tissue of perineum
B315300	Malig neopl of connective and soft tissue - sacrum or coccyx
B315z00	Malig neop of connective and soft tissue of pelvis NOS
B316.00	Malig neop of connective and soft tissue trunk unspecified
B317.00	Malignant neoplasm, overlap lesion connective & soft tissue
B31y.00	Malig neop connective and soft tissue other specified site
B31z.00	Malignant neoplasm of connective and soft tissue, site NOS
B31z000	Kaposi's sarcoma of soft tissue
B32..00	Malignant melanoma of skin
B320.00	Malignant melanoma of lip
B321.00	Malignant melanoma of eyelid including canthus
B322.00	Malignant melanoma of ear and external auricular canal
B322000	Malignant melanoma of auricle (ear)
B322100	Malignant melanoma of external auditory meatus
B322z00	Malignant melanoma of ear and external auricular canal NOS
B323.00	Malignant melanoma of other and unspecified parts of face
B323000	Malignant melanoma of external surface of cheek
B323100	Malignant melanoma of chin
B323200	Malignant melanoma of eyebrow
B323300	Malignant melanoma of forehead
B323400	Malignant melanoma of external surface of nose
B323500	Malignant melanoma of temple
B323z00	Malignant melanoma of face NOS
B324.00	Malignant melanoma of scalp and neck
B324000	Malignant melanoma of scalp
B324100	Malignant melanoma of neck
B324z00	Malignant melanoma of scalp and neck NOS
B325.00	Malignant melanoma of trunk (excluding scrotum)
B325000	Malignant melanoma of axilla
B325100	Malignant melanoma of breast
B325200	Malignant melanoma of buttock
B325300	Malignant melanoma of groin
B325400	Malignant melanoma of perianal skin
B325500	Malignant melanoma of perineum
B325600	Malignant melanoma of umbilicus
B325700	Malignant melanoma of back
B325800	Malignant melanoma of chest wall
B325z00	Malignant melanoma of trunk, excluding scrotum, NOS
B326.00	Malignant melanoma of upper limb and shoulder
B326000	Malignant melanoma of shoulder
B326100	Malignant melanoma of upper arm
B326200	Malignant melanoma of fore-arm
B326300	Malignant melanoma of hand
B326400	Malignant melanoma of finger
B326500	Malignant melanoma of thumb
B326z00	Malignant melanoma of upper limb or shoulder NOS
B327.00	Malignant melanoma of lower limb and hip
B327000	Malignant melanoma of hip
